adv_id,Captação,Tipo de Captação,Data
Assessor_10,"490000,00",TED,2020-08-19 00:00:00
Assessor_48,"489841,12",TED,2019-12-12 00:00:00
Assessor_19,"485236,09",PREV,2020-09-17 00:00:00
Assessor_41,"484900,00",TED,2020-02-19 00:00:00
Assessor_29,"484352,63",RF,2020-02-10 00:00:00
Assessor_24,"481200,00",TED,2020-10-19 00:00:00
Assessor_10,"481180,00",ST,2020-05-20 00:00:00
Assessor_14,"479500,00",TED,2020-06-02 00:00:00
Assessor_23,"479000,00",TED,2020-09-04 00:00:00
Assessor_4,"476555,38",ST,2020-07-20 00:00:00
Assessor_26,"476450,00",TED,2020-08-21 00:00:00
Assessor_23,"475333,61",ST,2020-07-24 00:00:00
Assessor_10,"473592,31",PREV,2020-03-16 00:00:00
Assessor_5,"470000,00",TED,2020-08-11 00:00:00
Assessor_37,"469389,24",PREV,2020-07-28 00:00:00
Assessor_5,"468763,01",ST,2020-07-06 00:00:00
Assessor_36,"467941,73",TED,2020-09-01 00:00:00
Assessor_10,"460000,00",TED,2020-10-27 00:00:00
Assessor_35,"460000,00",TED,2020-06-17 00:00:00
Assessor_26,"458923,82",TED,2019-12-05 00:00:00
Assessor_52,"456622,85",TED,2020-10-30 00:00:00
Assessor_31,"455917,00",TED,2020-10-27 00:00:00
Assessor_43,"453715,00",TED,2020-05-28 00:00:00
Assessor_19,"451660,00",TED,2020-10-29 00:00:00
Assessor_5,"450700,00",TED,2020-08-14 00:00:00
Assessor_37,"450000,00",PREV,2020-07-27 00:00:00
Assessor_12,"446320,79",ST,2020-08-11 00:00:00
Assessor_35,"446000,00",TED,2020-09-21 00:00:00
Assessor_29,"445162,54",ST,2020-06-25 00:00:00
Assessor_4,"444948,00",TED,2020-10-23 00:00:00
Assessor_29,"444628,06",ST,2020-08-07 00:00:00
Assessor_46,"444002,00",TED,2020-09-02 00:00:00
Assessor_35,"442300,00",TED,2020-06-04 00:00:00
Assessor_23,"442000,00",TED,2020-10-15 00:00:00
Assessor_23,"441319,28",PREV,2020-09-24 00:00:00
Assessor_52,"439970,34",PREV INTERNA,2020-09-29 00:00:00
Assessor_35,"438999,99",TED,2020-08-24 00:00:00
Assessor_28,"438289,00",ST,2020-09-09 00:00:00
Assessor_23,"435659,08",PREV,2020-09-25 00:00:00
Assessor_14,"434962,60",CEX,2020-10-13 00:00:00
Assessor_23,"434062,64",PREV,2020-09-28 00:00:00
Assessor_29,"434009,66",TD,2020-07-01 00:00:00
Assessor_19,"433718,26",TED,2019-12-04 00:00:00
Assessor_27,"433158,07",TED,2020-09-14 00:00:00
